School_ID,Long_Name,Primary_Category,School_Latitude,School_Longitude,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,SAT_Grade_11_Score_School_Avg,Transition_Gap,geometry,GEOID,NAME,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,disadvantage_score
400032,CICS - Ralph Ellison,HS,41.748382,-87.66898,79.3,47.6,755,31.699999999999996,POINT (-87.66898 41.748382),17031710500,Census Tract 7105; Cook County; Illinois,0.2809794706900816,10.595208716817996,0.1510945008008542,0.3782991202346041,0.5845238095238096,2.375949293983141
400033,CICS - Longwood,HS,41.721221,-87.655768,60.8,37.1,803,23.699999999999996,POINT (-87.655768 41.721221),17031730400,Census Tract 7304; Cook County; Illinois,0.1420132906719173,11.421730804785302,0.0746928746928747,0.1188486536675951,0.4594594594594595,-0.5298298634834304
400022,Chicago High School for the Arts (ChiArts),HS,41.899377,-87.694945,88.2,80.5,950,7.700000000000003,POINT (-87.694945 41.899377),17031242600,Census Tract 2426; Cook County; Illinois,0.2269593613933236,11.28455578118442,0.0648796832165702,0.3118393234672304,0.4671120246659815,0.507471254975596
400013,ASPIRA Charter School - Early College High School,HS,41.937298,-87.727096,73.1,41.6,855,31.499999999999993,POINT (-87.727096 41.937298),17031210501,Census Tract 2105.01; Cook County; Illinois,0.2543614794138171,11.029682582289963,0.0551931761164074,0.1818181818181818,0.4568880079286422,0.3798172724917722
610304,Phoenix Military Academy High School,HS,41.879118,-87.68696,93.7,71.4,908,22.299999999999997,POINT (-87.68696 41.879118),17031280800,Census Tract 2808; Cook County; Illinois,0.3647199046483909,9.957170489452311,0.1264916467780429,0.482051282051282,0.670846394984326,3.662995028074432
610323,Bowen High School,HS,41.734627,-87.55755,67.3,46.3,752,21.0,POINT (-87.55755 41.734627),17031460600,,,,,,,
610334,Al Raby High School,HS,41.88621,-87.715423,90.2,73.7,766,16.5,POINT (-87.715423 41.88621),17031836800,Census Tract 8368; Cook County; Illinois,0.6394686907020873,9.875756578797818,0.1794439764111204,0.658051689860835,0.5810126582278481,5.6065445353877825
610340,Chicago Academy High School,HS,41.943054,-87.776847,95.8,73.2,903,22.59999999999999,POINT (-87.776847 41.943054),17031171100,Census Tract 1711; Cook County; Illinois,0.0552027357107962,11.433698258018902,0.0280087527352297,0.0809628008752735,0.5244956772334294,-1.1997466864359243
610357,Spry Community Links High School,HS,41.847762,-87.698946,80.0,63.2,0,16.799999999999997,POINT (-87.698946 41.847762),17031301100,Census Tract 3011; Cook County; Illinois,0.141137401411374,10.45184014819284,0.0542941757156959,0.1840490797546012,0.5887096774193549,0.7102622966670938
610380,Daniel Hale Williams Prep School of Medicine,HS,41.806118,-87.62503,95.0,64.7,821,30.299999999999997,POINT (-87.62503 41.806118),17031381400,Census Tract 3814; Cook County; Illinois,0.2897832817337461,10.442900633154032,0.2614678899082568,0.6118251928020566,0.4532488114104596,3.749987456671046
610384,Infinity Math Science and Technology High School,HS,41.836169,-87.735278,88.5,58.2,923,30.299999999999997,POINT (-87.735278 41.836169),17031830500,Census Tract 8305; Cook County; Illinois,0.0952380952380952,10.987256894334465,0.0832376578645235,0.1316085489313835,0.3957783641160949,-0.3330953995807781
